1, 7, 0.0002185656
2, 49, 0.0015299591
3, 343, 0.0107097137
4, 2401, 0.0749679958
5, 16807, 0.5247759703
6, 21568, 0.6734317919
7, 22868, 0.7140225435
8, 31968, 0.9981578044
9, 31614, 0.9871046305
10, 29136, 0.9097324133
11, 11790, 0.3681268929
12, 18476, 0.5768882505
13, 1224, 0.0382177538
14, 8568, 0.2675242764
15, 27949, 0.8726699347
16, 3481, 0.1086895432
17, 24367, 0.7608268024
18, 10434, 0.3257876167
19, 8984, 0.2805133169
20, 30861, 0.9635932182
21, 23865, 0.7451525276
22, 6920, 0.2160676929
23, 16413, 0.5124738502
24, 18810, 0.5873169513
25, 3562, 0.1112186593
26, 24934, 0.7785306148
27, 14403, 0.4497143036
28, 4740, 0.1480001249
29, 1153, 0.0360008743
30, 8071, 0.2520061198
31, 24470, 0.7640428389
32, 11155, 0.3482998720
33, 14031, 0.4380991039
34, 2136, 0.0666937272
35, 14952, 0.4668560902
36, 8583, 0.2679926312
37, 28054, 0.8759484185
38, 4216, 0.1316389297
39, 29512, 0.9214725076
40, 14422, 0.4503075530
41, 4873, 0.1521528710
42, 2084, 0.0650700971
43, 14588, 0.4554906797
44, 6035, 0.1884347582
45, 10218, 0.3190433072
46, 7472, 0.2333031505
47, 20277, 0.6331220533
48, 13831, 0.4318543729
49, 736, 0.0229806101
50, 5152, 0.1608642708
51, 4037, 0.1260498954
52, 28259, 0.8823492678
53, 5651, 0.1764448746
54, 7530, 0.2351141225
55, 20683, 0.6457988572
56, 16673, 0.5205920005
57, 20630, 0.6441440035
58, 16302, 0.5090080245
59, 18033, 0.5630561714
60, 30150, 0.9413931995
61, 18888, 0.5897523964
62, 4108, 0.1282667749
63, 28756, 0.8978674244
64, 9130, 0.2850719705
65, 31883, 0.9955037937
66, 31019, 0.9685265557
67, 24971, 0.7796858900
68, 14662, 0.4578012302
69, 6553, 0.2046086115
70, 13844, 0.4322602804
71, 827, 0.0258219627
72, 5789, 0.1807537390
73, 8496, 0.2652761732
74, 27445, 0.8569332126
75, 31980, 0.9985324882
76, 31698, 0.9897274175
77, 29724, 0.9280919224
78, 15906, 0.4966434571
79, 15261, 0.4765041996
80, 10746, 0.3355293971
81, 11168, 0.3487057795
82, 14122, 0.4409404565
83, 2773, 0.0865831954
84, 19411, 0.6060823680
85, 7769, 0.2425765760
86, 22356, 0.6980360321
87, 28384, 0.8862522247
88, 6526, 0.2037655728
89, 13655, 0.4263590096
90, 31531, 0.9845130671
91, 28555, 0.8915914697
92, 7723, 0.2411402879
93, 22034, 0.6879820152
94, 26130, 0.8158741062
95, 22775, 0.7111187436
96, 31317, 0.9778312049
97, 27057, 0.8448184344
98, 29264, 0.9137290411
99, 12686, 0.3961032879
100, 24748, 0.7727230150
101, 13101, 0.4090611047
102, 27653, 0.8634277329
103, 1409, 0.0439941300
104, 9863, 0.3079589097
